age,gender,procrastination_level,motivation_level,fatigue_level,sleep_hours,task_complexity,current_habits_count,morning_person,goal_clarity,focus_span,time_availability,recommended_technique
56,Male,5,4,1,6.640348279,2,9,0,5,105,2.302342327,2 Minute Rule
46,Female,4,2,3,8.378271439,3,9,0,2,68,5.445127273,2 Minute Rule
32,Male,3,1,2,9.641324833,2,6,0,5,95,7.322951285,90/90/1 Rule
60,Other,5,5,2,7.622781952,2,9,0,5,93,7.867929159,2 Minute Rule
25,Male,2,3,3,9.178813226,2,4,0,4,17,1.9852321,Pomodoro
38,Male,5,4,2,8.934967896,4,5,1,2,76,1.50589717,90/90/1 Rule
56,Male,1,2,1,5.040058318,3,4,1,5,60,0.923010183,Habit Stacking
36,Male,3,1,1,6.914904573,2,6,1,2,9,7.012227636,Pomodoro
40,Other,2,3,3,4.701541213,2,1,0,3,16,2.710361351,Pomodoro
28,Other,4,2,2,8.092918969,2,4,0,3,45,0.513590254,2 Minute Rule
28,Female,2,2,1,9.699398009,1,9,1,3,7,2.178635645,Pomodoro
41,Other,4,3,1,4.822536748,4,2,1,5,103,3.053308101,90/90/1 Rule
53,Other,2,1,4,8.403298785,1,8,0,3,37,7.932396271,Pomodoro
57,Female,5,1,4,7.793428905,4,5,1,4,90,4.426561954,Pomodoro
41,Other,5,5,1,7.501630222,2,9,1,4,54,2.035354607,2 Minute Rule
20,Male,5,4,3,6.340721408,3,2,0,5,60,3.011137585,2 Minute Rule
39,Male,1,3,5,6.130789887,5,6,1,2,112,2.977307657,Pomodoro
19,Female,4,3,5,4.271495134,5,3,1,1,13,0.647943098,Pomodoro
41,Female,5,3,1,5.30745225,2,2,1,2,109,1.513872906,2 Minute Rule
61,Female,1,1,1,4.091061294,1,7,0,2,86,5.713973448,90/90/1 Rule
47,Male,4,4,1,7.488502633,3,3,1,2,54,1.401882399,2 Minute Rule
55,Other,2,5,3,4.635119415,4,0,1,2,33,2.230507075,90/90/1 Rule
19,Male,1,2,4,9.238116364,2,5,1,1,43,3.130529738,Pomodoro
38,Female,3,2,1,7.138858124,3,9,0,3,95,6.183012084,90/90/1 Rule
50,Other,1,3,1,8.198139454,3,0,0,2,104,4.868007237,90/90/1 Rule
29,Other,1,4,2,6.465142551,4,4,1,4,49,5.667499887,
39,Male,4,1,3,7.363478854,3,6,0,5,21,4.752592441,Pomodoro
61,Female,2,4,1,9.655955062,1,5,1,5,60,5.626943189,
42,Male,3,4,2,4.496404238,1,1,0,4,102,0.521316152,90/90/1 Rule
44,Other,5,1,5,5.523626632,1,3,0,2,50,7.481736083,Pomodoro
59,Male,5,3,1,8.679929961,3,1,1,1,71,1.331901732,2 Minute Rule
45,Male,1,4,1,4.592423241,1,0,1,3,73,3.54686822,90/90/1 Rule
33,Female,4,2,2,4.453966623,4,2,1,5,18,6.282787777,Pomodoro
32,Female,4,1,3,6.169248393,3,2,0,3,71,3.764230385,2 Minute Rule
64,Other,5,5,1,4.553007751,5,6,1,1,27,7.601319138,Pomodoro
61,Male,3,3,5,7.510470653,3,0,0,5,107,4.006917114,Pomodoro
20,Male,2,1,1,5.357651505,4,8,0,3,98,7.062045542,90/90/1 Rule
54,Male,3,5,5,9.374187779,5,5,1,1,118,6.58121085,Pomodoro
24,Other,2,5,4,8.701000485,3,3,0,3,113,7.857397271,Pomodoro
38,Other,5,4,4,8.198231237,1,2,1,2,65,7.449108356,Pomodoro
26,Female,2,4,5,7.701664164,2,2,0,1,27,7.23592876,Pomodoro
56,Female,4,4,3,9.180794382,2,1,1,3,31,5.987032554,2 Minute Rule
35,Female,1,1,1,5.338372369,1,0,0,3,58,3.252486105,90/90/1 Rule
21,Male,1,1,1,9.238653057,2,9,0,2,14,1.295940639,Pomodoro
42,Male,5,3,4,8.736953791,2,4,1,1,93,5.664837892,Pomodoro
31,Female,4,4,5,8.488964958,1,8,0,4,81,7.83990561,Pomodoro
26,Male,3,5,1,7.367534068,1,1,1,5,20,5.94953328,Pomodoro
43,Female,4,2,1,5.477464966,3,1,0,1,45,7.46547027,2 Minute Rule
19,Other,1,3,3,6.541287496,3,5,0,2,102,6.532285347,90/90/1 Rule
37,Female,1,1,2,8.761423927,1,9,0,2,59,1.723360063,90/90/1 Rule
45,Other,4,3,4,4.190670906,4,1,1,1,105,2.369028279,Pomodoro
64,Male,4,3,4,8.692304616,2,3,1,4,65,3.063992013,Pomodoro
24,Female,1,3,2,5.440424443,3,5,1,5,90,1.761953333,90/90/1 Rule
61,Male,3,3,1,4.865855204,2,4,1,3,85,4.862384995,90/90/1 Rule
25,Other,5,2,3,4.694207909,5,0,1,1,91,7.815878931,90/90/1 Rule
64,Other,5,4,3,4.163500072,1,5,0,5,104,6.210941251,2 Minute Rule
